ngram,freq,ant,joy,tru,fea,sur,sad,dis,ang,none,max.value,max.prop
슬픔/NNG;의/JKG;눈물/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
시절/NNG;추억/NNG;떠오르/VV,1,0,0.5,1,0,0,0,0,0,0,tru,1
신/NNG;나/VV;게/EC,1,0,1,0,0,0,0,0,0,0,joy,1
실로/MAG;유감/NNG;스럽/XSA,1,0,0,0,0,0,1,0,0.5,0,sad,1
심회/NNG;가/JKS;돋아나/VV,1,0,0,0,0,0,1,0,0,0,sad,1
싶/VX;은/ETM;마음/NNG,1,1,0,0,0,0,0,0,0,0,ant,1
쓸쓸/XR;하/XSA;ㅁ/ETN,1,0,0,0,0,0,1,0.5,0,0,sad,1
씁쓸/XR;하/XSA;ㅁ/ETN,1,0,0,0,0,0,1,0.5,0,0,sad,1
아니/VCN;ㄹ/ETM;수/NNB,1,0,0,0,1,0,0,0,0,0,fea,1
아랑곳/NNG;하/XSV;지/EC,2,0,0,0,0,0,0,0,0,1,none,1
아연/MAG;하/XSA;게/EC,1,0,0,0,0.5,1,0,0,0,0,sur,1
아프/VA;ㄴ/ETM;몸/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
악수/NNG;를/JKO;청/NNG,1,0,0,1,0,0,0,0,0,0,tru,1
았/EP;다는/ETM;말/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
았/EP;던/ETM;충격/NNG,1,0,0,0,1,0.5,0,0,0,0,fea,1
애타/VV;게/EC;그리/VV,1,0,0,0,0,0,1,0,0,0,sad,1
약간/NNG;의/JKG;쓸쓸/XR,1,0,0,0,0,0,1,0.5,0,0,sad,1
약간/NNG;의/JKG;편안/NNG,1,0,1,0,0,0,0,0,0,0,joy,1
약혼/NNG;까지/JX;하/VV,1,0,0,0,0,0,1,0.5,0,0,sad,1
얘기/NNG;꽃/NNG;을/JKO,1,0,1,0,0,0,0,0,0,0,joy,1
어/EC;지내/VV;는/ETM,1,0,0,0,0,0,1,0,0,0,sad,1
어쩌/VV;나/EC;고민/NNG,1,0,0,0,1,0,0,0,0,0,fea,1
언제/MAG;여자/NNG;와/JKB,1,0,0,0,0,0,1,0,0,0,sad,1
얼/VV;ㄴ/ETM;가슴/NNG,1,0,0,0,0,0,0,0,0,1,none,1
없/VA;는/ETM;위기감/NNG,1,0,0,0,1,0,0,0,0,0,fea,1
